OriginCode,DestinCode,WeekDay,HourDeparture,ModelAircraft,Duration
EHAM,EGSS,4,7,A320,44
EGSS,EKCH,4,14,A320,74
EKCH,EGSS,4,16,A320,85
EGSS,EGAA,4,18,A320,62
EGAA,EGSS,4,20,A320,47
EGSS,EHAM,6,6,A320,43
EHAM,EGSS,6,7,A320,37
EGSS,EKCH,6,14,A320,79
EKCH,EGSS,6,16,A320,81
EGSS,EGAA,6,19,A320,57
EGAA,EGSS,6,20,A320,43
EGSS,EHAM,2,6,A320,42
EHAM,EGSS,2,8,A320,34
EGSS,EKCH,2,14,A320,70
