Name;Code;Latitude;Longitude;Altitude;Country;City
Herat;"OAHR ";34.210017000000;62.228300000000;0.977200682800;Afghanistan;Herat
Jalalabad;"OAJL ";34.399842000000;70.498625000000;0.552913923400;Afghanistan;Jalalabad
Kabul Intl;"OAKB ";34.565853000000;69.212328000000;1.791331383000;Afghanistan;Kabul
Kandahar;"OAKN ";31.505756000000;65.847822000000;1.017129968000;Afghanistan;Kandahar
Konduz;"OAUZ ";36.665111000000;68.910833000000;0.444099000200;Afghanistan;Kunduz
Maimana;"OAMN ";35.930789000000;64.760917000000;0.836076566700;Afghanistan;Maimama
Mazar I Sharif;"OAMS ";36.706914000000;67.209678000000;0.391367959000;Afghanistan;Mazar-i-sharif
Sheberghan;"OASG ";36.750783000000;65.913164000000;0.320958302900;Afghanistan;Sheberghan
Shindand;"OASD ";33.391331000000;62.260975000000;1.150024384000;Afghanistan;Shindand
Tirana Rinas;"LATI ";41.414742000000;19.720561000000;0.038405267010;Albania;Tirana
Ain Oussera;"DAAQ ";35.525414000000;2.878714000000;0.649841502100;Algeria;Ain Oussera
Annaba;"DABB ";36.822225000000;7.809167000000;0.004876859303;Algeria;Annaba
Biskra;"DAUB ";34.793289000000;5.738231000000;0.088088271150;Algeria;Biskra
Blida;"DAAB ";36.503613000000;2.814167000000;0.163069982900;Algeria;Blida
Bou Chekif;"DAOB ";35.341136000000;1.463147000000;0.989088027300;Algeria;Tiaret
Bou Saada;"DAAD ";35.332500000000;4.206389000000;0.459034381900;Algeria;Bou Saada
Bou Sfer;"DAOE ";35.735389000000;-0.805389000000;0.056998293100;Algeria;Bou Sfer
Boufarik;"DAAK ";36.545834000000;2.876111000000;0.102109241600;Algeria;Boufarik
Cheikh Larbi Tebessi;"DABS ";35.431611000000;8.120717000000;0.811082662800;Algeria;Tebessa
Ech Cheliff;"DAOI ";36.212658000000;1.331775000000;0.141124116100;Algeria;Ech-cheliff
El Golea;"DAUE ";30.571294000000;2.859586000000;0.398073640600;Algeria;El Golea
Es Senia;"DAOO ";35.623858000000;-0.621183000000;0.089917093390;Algeria;Oran
Ghriss;"DAOV ";35.207725000000;0.147142000000;0.513899049000;Algeria;Ghriss
Hassi R Mel;"DAFH ";32.930431000000;3.311542000000;0.774201414300;Algeria;Tilrempt
Houari Boumediene;"DAAG ";36.691014000000;3.215408000000;0.024993903930;Algeria;Algier
Illizi Takhamalt;"DAAP ";26.723536000000;8.622653000000;0.541940990000;Algeria;Illizi
In Amenas;"DAUZ ";28.051550000000;9.642911000000;0.562972445700;Algeria;Zarzaitine
In Salah;"DAUI ";27.251022000000;2.512017000000;0.273104120900;Algeria;In Salah
Jijel;"DAAV ";36.795136000000;5.873608000000;0.010972933430;Algeria;Jijel
Laghouat;"DAUL ";33.764383000000;2.928344000000;0.765057303100;Algeria;Laghouat
Mecheria;"DAAY ";33.535853000000;-0.242353000000;1.175018288000;Algeria;Mecheria
Mohamed Boudiaf Intl;"DABC ";36.276028000000;6.620386000000;0.690380395000;Algeria;Constantine
Noumerat;"DAUG ";32.384106000000;3.794114000000;0.460863204100;Algeria;Ghardaia
Ouargla;"DAUU ";31.917223000000;5.412778000000;0.149963423600;Algeria;Ouargla
Oued Irara;"DAUH ";31.672972000000;6.140444000000;0.141124116100;Algeria;Hassi Messaoud
Reggane;"DAAN ";26.710103000000;0.285647000000;0.291087539600;Algeria;Reggan
Relizane;"DAAZ ";35.752239000000;0.626272000000;0.085954645210;Algeria;Relizane
Sidi Bel Abbes;"DAOS ";35.171775000000;-0.593275000000;0.491953182200;Algeria;Sidi Bel Abbes
Sidi Mahdi;"DAUK ";33.067803000000;6.088672000000;0.085040234090;Algeria;Touggourt
Soummam;"DAAE ";36.711997000000;5.069922000000;0.006096074128;Algeria;Bejaja
Tafaraoui;"DAOL ";35.542444000000;-0.532278000000;0.111862960300;Algeria;Oran
Tamanrasset;"DAAT ";22.811461000000;5.451075000000;1.377103146000;Algeria;Tamanrasset
Timimoun;"DAUT ";29.237119000000;0.276033000000;0.313033406500;Algeria;Timimoun
Tindouf;"DAOF ";27.700372000000;-8.167103000000;0.442879785400;Algeria;Tindouf
Tiska;"DAAJ ";24.292767000000;9.452444000000;0.968056571600;Algeria;Djanet
Touat Cheikh Sidi Mohamed Belkebir;"DAUA ";27.837589000000;-0.186414000000;0.280114606200;Algeria;Adrar
Zenata;"DAON ";35.016667000000;-1.450000000000;0.248110217000;Algeria;Tlemcen
Pago Pago Intl;"NSTU ";-14.331000000000;-170.710500000000;0.009753718605;American Samoa;Pago Pago
Benguela;"FNBG ";-12.609025000000;13.403711000000;0.035966837360;Angola;Benguela
Cabinda;"FNCA ";-5.596992000000;12.188353000000;0.020117044620;Angola;Cabinda
Huambo;"FNHU ";-12.808878000000;15.760547000000;1.702938308000;Angola;Huambo
Kuito;"FNKU ";-12.404633000000;16.947414000000;1.712387223000;Angola;Kuito
Lobito;"FNLB ";-12.371233000000;13.536625000000;0.003048037064;Angola;Lobito
Luanda 4 De Fevereiro;"FNLU ";-8.858375000000;13.231178000000;0.074067300660;Angola;Luanda
Lubango;"FNUB ";-14.924733000000;13.575022000000;1.761155816000;Angola;Lubango
Luena;"FNUE ";-11.768086000000;19.897672000000;1.328944160000;Angola;Luena
Malanje;"FNMA ";-9.525086000000;16.312406000000;1.178980736000;Angola;Malanje
Mbanza Congo;"FNBC ";-6.269897000000;14.247025000000;0.566934893900;Angola;M´banza-congo
Menongue;"FNME ";-14.657583000000;17.719833000000;1.362167764000;Angola;Menongue
