Period,Aircraft,Number of flights flown
2013-09-28 to 2013-09-30,311 - A319,7
2013-09-17 to 2013-09-19,32 - A319,10
2013-09-25 to 2013-09-27,323 - A320,3
2013-09-22 to 2013-09-24,329 - A320,6
2013-09-25 to 2013-09-27,333 - A319,14
2013-09-13 to 2013-09-15,347 - A319,10
2013-09-19 to 2013-09-21,360 - A319,5
2013-09-24 to 2013-09-26,366 - A319,13
2013-09-22 to 2013-09-24,367 - A319,10
2013-09-17 to 2013-09-19,372 - A320,5
2013-09-02 to 2013-09-04,380 - A320,2
2013-09-28 to 2013-09-30,381 - A320,3
2013-09-01 to 2013-09-03,403 - A320,10
2013-09-01 to 2013-09-03,457 - A319,10
2013-09-11 to 2013-09-13,467 - A320,12
2013-09-19 to 2013-09-21,5 - A319,13
2013-09-08 to 2013-09-10,525 - A319,4
2013-09-01 to 2013-09-03,538 - A319,14
2013-09-24 to 2013-09-26,549 - A319,9
2013-09-12 to 2013-09-14,56 - A319,13
2013-09-24 to 2013-09-26,572 - A320,5
2013-09-15 to 2013-09-17,577 - A319,4
2013-09-18 to 2013-09-20,578 - A319,3
2013-09-29 to 2013-10-01,579 - A319,2
2013-09-25 to 2013-09-27,585 - A319,10
2013-09-05 to 2013-09-07,589 - A320,11
2013-09-28 to 2013-09-30,590 - A320,3
2013-09-10 to 2013-09-12,594 - A319,17
2013-09-08 to 2013-09-10,600 - A319,2
2013-09-09 to 2013-09-11,601 - A319,3
2013-09-19 to 2013-09-21,603 - A319,7
2013-09-19 to 2013-09-21,623 - A320,11
2013-09-14 to 2013-09-16,628 - A320,2
2013-09-23 to 2013-09-25,640 - A319,6
2013-09-22 to 2013-09-24,658 - A319,8
2013-09-29 to 2013-10-01,663 - A319,10
2013-09-08 to 2013-09-10,670 - A319,7
2013-09-29 to 2013-10-01,690 - A319,10
2013-09-08 to 2013-09-10,732 - A319,8
2013-09-09 to 2013-09-11,759 - A319,10
2013-09-14 to 2013-09-16,760 - A319,9
2013-09-08 to 2013-09-10,773 - A319,14
2013-09-01 to 2013-09-03,777 - A320,2
2013-09-19 to 2013-09-21,781 - A319,11
2013-09-01 to 2013-09-03,794 - A319,7
2013-09-07 to 2013-09-09,806 - A319,1
2013-09-01 to 2013-09-03,851 - A319,6
2013-09-08 to 2013-09-10,855 - A319,17
2013-09-29 to 2013-10-01,859 - A319,3
2013-09-16 to 2013-09-18,860 - A319,2
2013-09-22 to 2013-09-24,887 - A319,10
2013-09-15 to 2013-09-17,888 - A319,8
2013-09-01 to 2013-09-03,897 - A319,12
2013-09-17 to 2013-09-19,912 - A320,2
2013-09-04 to 2013-09-06,92 - A319,15
2013-09-11 to 2013-09-13,929 - A319,9
2013-09-25 to 2013-09-27,930 - A319,6
2013-09-04 to 2013-09-06,949 - A319,2
2013-09-23 to 2013-09-25,955 - A319,11
2013-09-04 to 2013-09-06,970 - A320,7
2013-09-26 to 2013-09-28,971 - A319,16
2013-09-26 to 2013-09-28,973 - A319,10
2013-09-09 to 2013-09-11,984 - A320,6
2013-09-20 to 2013-09-22,989 - A319,5
