OriginCode;DestinCode;WeekDay;HourDeparture;ModelAircraft;FlightDuration
EGGW ;EGPF ;7;20;A320;52.43333333333333
EGGP ;EGAA ;7;21;A319;37.166666666666664
EKCH ;EGKK ;1;4;A319;98.86666666666666
EGGW ;EGGW ;1;4;A319;352.71666666666664
EGAA ;EGAA ;1;5;A319;391.6166666666667
EGGW ;LFPG ;1;5;A319;52.916666666666664
EGKK ;EHAM ;1;5;A320;57.81666666666667
EGGP ;EGGP ;1;5;A319;323.98333333333335
EGAA ;EGKK ;1;5;A319;65.15
EGGD ;EGNT ;1;5;A319;48.86666666666667
EGGD ;EGPH ;1;5;A320;57.53333333333333
EGPF ;EGPF ;1;5;A319;281.7
EGGD ;EGGD ;1;5;A319;168.61666666666667
EGPH ;EGSS ;1;5;A319;56.983333333333334
EGGP ;EGGP ;1;5;A319;113.0
EGPF ;EGPF ;1;5;A319;432.28333333333336
EGAA ;EGAA ;1;5;A319;137.9
EGSS ;EKCH ;1;5;A319;80.76666666666667
EGPH ;EGPH ;1;6;A319;170.91666666666666
EGGW ;LFPG ;1;6;A319;197.68333333333334
EGNT ;EGNT ;1;6;A319;111.88333333333334
EGAA ;EGGW ;1;6;A319;46.233333333333334
EGMC ;EGMC ;1;6;A319;165.91666666666666
EGPH ;EGPH ;1;6;A320;109.0
EGAA ;EGAA ;1;6;A319;131.35
EGSS ;EHAM ;1;6;A320;42.083333333333336
EGPF ;EGKK ;1;6;A320;65.88333333333334
EGPF ;EGGW ;1;6;A319;49.766666666666666
EGGD ;EGGD ;1;6;A319;155.85
EGKK ;EKCH ;1;6;A319;89.66666666666667
EGCC ;EGCC ;1;6;A320;168.35
EGMC ;EGMC ;1;6;A319;134.76666666666668
EGKK ;EGKK ;1;6;A319;200.95
LFBZ ;LFPG ;1;6;A319;79.1
EDLN ;EGKK ;1;7;A319;57.0
EGKK ;EHAM ;1;7;A319;45.1
EGKK ;EHAM ;1;7;A320;192.95
EGAA ;EGGD ;1;7;A320;49.11666666666667
EGKK ;EGAA ;1;7;A319;204.38333333333333
EDLW ;EGGW ;1;7;A319;60.766666666666666
EHAM ;EGSS ;1;7;A320;38.916666666666664
;EGKK ;1;8;A319;57.05
EDDH ;EGKK ;1;8;A319;78.1
EGKK ;EGPF ;1;8;A319;71.58333333333333
EGPH ;EGPH ;1;9;A319;434.0
EGAA ;EGAA ;1;9;A319;225.13333333333333
EGKK ;EGKK ;1;9;A319;180.96666666666667
EHAM ;EGKK ;1;9;A319;46.1
EGKK ;LFBD ;1;10;A319;70.28333333333333
EKCH ;EKCH ;1;11;A319;234.4
EKCH ;EGCC ;1;11;A319;94.78333333333333
EGGW ;LFBD ;1;11;A319;82.65
EGSS ;EGSS ;1;11;A319;151.08333333333334
EGGW ;EGGW ;1;12;A319;177.96666666666667
EGGP ;EGGP ;1;12;A319;104.73333333333333
EGSS ;EGSS ;1;12;A319;155.81666666666666
EGPH ;EGPH ;1;12;A319;237.16666666666666
EGPF ;EGGW ;1;12;A319;51.766666666666666
EGGD ;EGGD ;1;12;A319;251.11666666666667
EGMC ;EGPH ;1;12;A319;57.05
EGPH ;EGPH ;1;12;A319;165.51666666666668
EGAA ;EGKK ;1;13;A319;66.71666666666667
EGKK ;EGPF ;1;13;A320;61.833333333333336
EGKK ;EGKK ;1;13;A320;145.96666666666667
EGKK ;EGKK ;1;13;A320;178.16666666666666
EGCC ;EGCC ;1;14;A319;409.18333333333334
EGKK ;EGNS ;1;14;A319;47.75
EGSS ;EGSS ;1;14;A320;418.21666666666664
EGGD ;EGGD ;1;14;A319;155.43333333333334
